question,answer,correct
96953885 * 83704933,8115518448014705,True
62569708 * 90640467,5671347553173636,True
48027701 * 82042318,3940303918250918,True
28493524 * 32922100,938066646480400,True
34867622 * 96863994,3377417128202268,True
37361130 * 61959734,2314885676739420,True
18456387 * 86976841,1605278237533467,True
28943764 * 54281240,1571103400187360,True
44955695 * 74162719,3334036575734705,True
70405562 * 42786943,3012438768176966,True
36091239 * 90090343,3251472100804977,True
47464435 * 75829195,3599189897179825,True
87013567 * 71851009,6252012585639103,True
75497181 * 22671151,1711607990525331,True
33226240 * 43257742,1437292117550080,True
73886826 * 35316056,2609391284678256,True
91189860 * 35297508,3218774812868880,True
79387699 * 11446375,908701373141125,True
96248695 * 88900660,8556572509638700,True
48912131 * 83266869,4072760004487839,True
52305231 * 44081800,2305708731895800,True
93081168 * 35859122,3337808959214496,True
34473152 * 85776746,2956994802923392,True
45717386 * 91164506,4167802910301316,True
68631172 * 88575779,6079059523582988,True
19149652 * 35224834,674543312857768,True
14780182 * 43919661,649140582958302,True
98179807 * 31341829,3077134722247003,True
55983947 * 89761056,5025178201768032,True
70846421 * 15274703,1082158039387963,True
15888261 * 45879429,728944342482969,True
44473059 * 81667533,3632005013493447,True
71273802 * 54533087,3886780445286774,True
81776929 * 49305712,4032069709518448,True
17539470 * 46000955,806832370193850,True
33895910 * 11659688,395215735076080,True
18078265 * 83986935,1518338067467775,True
82017519 * 92447786,7582338044762934,True
37952159 * 13607604,516437950617036,True
31760232 * 11100058,352540417293456,True
55962677 * 43682343,2444580851912211,True
97702867 * 33223998,3246079857802266,True
37936375 * 28313936,1074128093822000,True
76374721 * 69940995,5341723979587395,True
45751941 * 18417747,842647674096927,True
24204240 * 39447622,954799710317280,True
84141589 * 66601186,5603929619324554,True
41889637 * 94868778,3974018673053586,True
25712686 * 98364216,2529208199644176,True
36834241 * 62776864,2312338137800224,True
82531870 * 46653908,3850434270047960,True
64933106 * 94313454,6124065505808124,True
62312567 * 35287160,2198833521739720,True
30520018 * 96569323,2947297476207814,True
18304936 * 82671078,1513288791841008,True
29029468 * 78710666,2284928759905688,True
68595154 * 98895193,6783730993694722,True
35726132 * 53169230,1899530929318360,True
17841480 * 73688157,1314705779352360,True
40941709 * 24933962,1020839016421058,True
80497724 * 39257130,3160109615772120,True
31217398 * 53783465,1678979832724070,True
35251555 * 50378625,1775924870011875,True
24327268 * 17057395,414959819546860,True
78972293 * 25410284,2006708393261212,True
20346402 * 32833060,668034637650120,True
23353732 * 76753903,1792490080615996,True
15720061 * 49386874,776364671879314,True
50285330 * 52307859,2630317951408470,True
28651724 * 52448158,1502730147324392,True
67959224 * 55251754,3754866326478896,True
45695952 * 16741540,765020608246080,True
96225594 * 93718144,9018084074977536,True
83204666 * 73823474,6142457497129684,True
64451762 * 30643434,1975023315030708,True
78796923 * 99729276,7858360081817748,True
31164070 * 12903053,402111646905710,True
50735946 * 49754014,2524316967587244,True
38633419 * 49082834,1896237691629446,True
57057277 * 67000503,3822866258810331,True
99862505 * 35960723,3591127880391115,True
76319439 * 94762045,7232186112892755,True
33587665 * 37394951,1256009086879415,True
70316644 * 75937636,5339679716813584,True
78937519 * 17993733,1420380640568427,True
86084302 * 46265578,3982739988756556,True
39953363 * 16347170,653124417032710,True
60297264 * 51042650,3077732142309600,True
16037470 * 98331064,1576981488968080,True
84683828 * 16683448,1412818240878944,True
77888187 * 61678222,4804004888963514,True
41879309 * 27917359,1169159704024931,True
65585282 * 33516259,2198173298100038,True
35030489 * 29041066,1017322743061274,True
97864428 * 64816994,6343278042489432,True
21081426 * 73195063,1543056304199838,True
55546562 * 61864204,3436343843066648,True
53486770 * 55269843,2956205380477110,True
66721541 * 57860341,3860531114305481,True
95441299 * 86347545,8241121860260955,True
97647653 * 39534989,3860498887230817,True
76408882 * 75451752,5765184015261264,True
78727365 * 16367041,1288534010776965,True
62944608 * 83140877,5233269911541216,True
40031160 * 31032394,1242262729397040,True
81555707 * 74605054,6084467924743178,True
28929047 * 44787099,1295648091964653,True
38818897 * 56939578,2210331613605466,True
76885179 * 93579533,7194879145441407,True
82961359 * 12909729,1071008662161711,True
38611154 * 59438405,2294985408969370,True
40529703 * 56770292,2300883073983276,True
66015456 * 22394283,1478368804038048,True
90927416 * 26641270,2422421840058320,True
33603943 * 47284602,1588949070385686,True
12963664 * 85075966,1102896237699424,True
16885991 * 37183911,627887186490801,True
55305989 * 89315850,4939701417625650,True
78114646 * 59327304,4634331350094384,True
96678802 * 87753108,8483865353216616,True
22463934 * 17070867,383478829610778,True
12473710 * 69417372,865892167290120,True
49750986 * 68111512,3388614879950832,True
74802195 * 67566653,5054133953203335,True
90547250 * 52183003,4725027418391750,True
95238108 * 59531660,5669682664499280,True
80177313 * 97662284,7830299512562892,True
65538106 * 97696481,6402842327604986,True
74275149 * 49748782,3695098195618518,True
27982985 * 39553052,1106812460820220,True
99029642 * 24676649,2443719716229658,True
77674773 * 49307729,3829966657220517,True
88909091 * 38644906,3435883464240446,True
42783021 * 20741036,887364178749756,True
85471322 * 82600128,7059942137529216,True
36222178 * 54325172,1967776050064616,True
53387984 * 15731200,839857053900800,True
78453858 * 77099953,6048788764468674,True
50491585 * 82304739,4155696725121315,True
14184004 * 41636262,590568906753048,True
27305084 * 33433721,912910560337564,True
59358624 * 92678663,5501277909839712,True
35265322 * 30891526,1089399611461372,True
83135594 * 23192641,1928133985963754,True
85999920 * 71193415,6122627994526800,True
98073423 * 63250687,6203211381191601,True
91883507 * 60298584,5540445365054088,True
21879124 * 20304224,444238634619776,True
75590289 * 41054440,3103316984333160,True
65712620 * 62252642,4090784207742040,True
28998440 * 22696679,658168284180760,True
13923350 * 94824428,1320273699593800,True
24474591 * 18321642,448414694398422,True
81916165 * 81128569,6645741244417885,True
71255106 * 52860006,3766545330690636,True
25711868 * 94331073,2425428097274364,True
30743158 * 16771346,515604139950668,True
82402724 * 91488250,7538881013993000,True
69345499 * 42949899,2978382178154601,True
26456610 * 76159912,2014933089418320,True
50199360 * 40436363,2029879543327680,True
61364520 * 86044278,5280065818216560,True
85500415 * 56067031,4793754418317865,True
37627798 * 89536000,3369042521728000,True
94660664 * 89657846,8487071235169744,True
41130884 * 82646998,3399344087686232,True
42232723 * 22441539,947767300280697,True
70896284 * 86322416,6119938520302144,True
50415145 * 44634026,2250230892723770,True
64023041 * 69970935,4479752040313335,True
99199032 * 21745340,2157116678510880,True
82669877 * 53308423,4407000772473971,True
94390886 * 52186965,4925973864000990,True
17709194 * 44599748,789825589683112,True
63093646 * 58542121,3693635858463166,True
86735284 * 54052107,4688224851443388,True
88605146 * 27243649,2413927497217754,True
92924147 * 56092371,5212335728382537,True
66764861 * 82394139,5501033237549679,True
12564901 * 31092226,390670741559626,True
85993043 * 75018131,6451037364862633,True
76740035 * 64988537,4987222603978795,True
34460850 * 53448760,1841889701046000,True
56944600 * 78831044,4489002268162400,True
99167472 * 40703749,4036487889252528,True
11789694 * 86109140,1015200411203160,True
73128359 * 80387940,5878638135590460,True
39700586 * 92716715,3680907917494990,True
55651000 * 36256012,2017683323812000,True
67919408 * 54607630,3708917901883040,True
52078629 * 34744653,1809453893320737,True
19536665 * 36496404,713018018652660,True
52051912 * 73528153,3827280949478536,True
99792079 * 21076625,2103280227053375,True
65891413 * 64575662,4254981614590406,True
98268899 * 82864111,8142964954583789,True
45725313 * 47916084,2190977938634292,True
84127149 * 53702722,4517856895399578,True
67041548 * 89617236,6008078228921328,True
72504345 * 56200931,4074811690545195,True
96303142 * 64786053,6239100461678526,True
87238768 * 51234274,4469614943134432,True
24486672 * 86839090,2126400313608480,True
84870029 * 42189179,3580596845216191,True
12083150 * 96893046,1170773208774900,True
31305034 * 58382831,1827676509471254,True
35750419 * 86617692,3096618781812948,True
38936582 * 49435097,1924833708018454,True
57734787 * 27371727,1580300828167149,True
