question,answer,correct
96953885 - 83704933,13248952,True
62569708 - 90640467,-28070759,True
48027701 - 82042318,-34014617,True
28493524 - 32922100,-4428576,True
34867622 - 96863994,-61996372,True
37361130 - 61959734,-24598604,True
18456387 - 86976841,-68520454,True
28943764 - 54281240,-25337476,True
44955695 - 74162719,-29207024,True
70405562 - 42786943,27618619,True
36091239 - 90090343,-53999104,True
47464435 - 75829195,-28364760,True
87013567 - 71851009,15162558,True
75497181 - 22671151,52826030,True
33226240 - 43257742,-10031502,True
73886826 - 35316056,38570770,True
91189860 - 35297508,55892352,True
79387699 - 11446375,67941324,True
96248695 - 88900660,7348035,True
48912131 - 83266869,-34354738,True
52305231 - 44081800,8223431,True
93081168 - 35859122,57222046,True
34473152 - 85776746,-51303594,True
45717386 - 91164506,-45447120,True
68631172 - 88575779,-19944607,True
19149652 - 35224834,-16075182,True
14780182 - 43919661,-29139479,True
98179807 - 31341829,66837978,True
55983947 - 89761056,-33777109,True
70846421 - 15274703,55571718,True
15888261 - 45879429,-29991168,True
44473059 - 81667533,-37194474,True
71273802 - 54533087,16740715,True
81776929 - 49305712,32471217,True
17539470 - 46000955,-28461485,True
33895910 - 11659688,22236222,True
18078265 - 83986935,-65908670,True
82017519 - 92447786,-10430267,True
37952159 - 13607604,24344555,True
31760232 - 11100058,20660174,True
55962677 - 43682343,12280334,True
97702867 - 33223998,64478869,True
37936375 - 28313936,9622439,True
76374721 - 69940995,6433726,True
45751941 - 18417747,27334194,True
24204240 - 39447622,-15243382,True
84141589 - 66601186,17540403,True
41889637 - 94868778,-52979141,True
25712686 - 98364216,-72651530,True
36834241 - 62776864,-25942623,True
82531870 - 46653908,35877962,True
64933106 - 94313454,-29380348,True
62312567 - 35287160,27025407,True
30520018 - 96569323,-66049305,True
18304936 - 82671078,-64366142,True
29029468 - 78710666,-49681198,True
68595154 - 98895193,-30300039,True
35726132 - 53169230,-17443098,True
17841480 - 73688157,-55846677,True
40941709 - 24933962,16007747,True
80497724 - 39257130,41240594,True
31217398 - 53783465,-22566067,True
35251555 - 50378625,-15127070,True
24327268 - 17057395,7269873,True
78972293 - 25410284,53562009,True
20346402 - 32833060,-12486658,True
23353732 - 76753903,-53400171,True
15720061 - 49386874,-33666813,True
50285330 - 52307859,-2022529,True
28651724 - 52448158,-23796434,True
67959224 - 55251754,12707470,True
45695952 - 16741540,28954412,True
96225594 - 93718144,2507450,True
83204666 - 73823474,9381192,True
64451762 - 30643434,33808328,True
78796923 - 99729276,-20932353,True
31164070 - 12903053,18261017,True
50735946 - 49754014,981932,True
38633419 - 49082834,-10449415,True
57057277 - 67000503,-9943226,True
99862505 - 35960723,63901782,True
76319439 - 94762045,-18442606,True
33587665 - 37394951,-3807286,True
70316644 - 75937636,-5620992,True
78937519 - 17993733,60943786,True
86084302 - 46265578,39818724,True
39953363 - 16347170,23606193,True
60297264 - 51042650,9254614,True
16037470 - 98331064,-82293594,True
84683828 - 16683448,68000380,True
77888187 - 61678222,16209965,True
41879309 - 27917359,13961950,True
65585282 - 33516259,32069023,True
35030489 - 29041066,5989423,True
97864428 - 64816994,33047434,True
21081426 - 73195063,-52113637,True
55546562 - 61864204,-6317642,True
53486770 - 55269843,-1783073,True
66721541 - 57860341,8861200,True
95441299 - 86347545,9093754,True
97647653 - 39534989,58112664,True
76408882 - 75451752,957130,True
78727365 - 16367041,62360324,True
62944608 - 83140877,-20196269,True
40031160 - 31032394,8998766,True
81555707 - 74605054,6950653,True
28929047 - 44787099,-15858052,True
38818897 - 56939578,-18120681,True
76885179 - 93579533,-16694354,True
82961359 - 12909729,70051630,True
38611154 - 59438405,-20827251,True
40529703 - 56770292,-16240589,True
66015456 - 22394283,43621173,True
90927416 - 26641270,64286146,True
33603943 - 47284602,-13680659,True
12963664 - 85075966,-72112302,True
16885991 - 37183911,-20297920,True
55305989 - 89315850,-34009861,True
78114646 - 59327304,18787342,True
96678802 - 87753108,8925694,True
22463934 - 17070867,5393067,True
12473710 - 69417372,-56943662,True
49750986 - 68111512,-18360526,True
74802195 - 67566653,7235542,True
90547250 - 52183003,38364247,True
95238108 - 59531660,35706448,True
80177313 - 97662284,-17484971,True
65538106 - 97696481,-32158375,True
74275149 - 49748782,24526367,True
27982985 - 39553052,-11570067,True
99029642 - 24676649,74352993,True
77674773 - 49307729,28367044,True
88909091 - 38644906,50264185,True
42783021 - 20741036,22041985,True
85471322 - 82600128,2871194,True
36222178 - 54325172,-18102994,True
53387984 - 15731200,37656784,True
78453858 - 77099953,1353905,True
50491585 - 82304739,-31813154,True
14184004 - 41636262,-27452258,True
27305084 - 33433721,-6128637,True
59358624 - 92678663,-33320039,True
35265322 - 30891526,4373796,True
83135594 - 23192641,59942953,True
85999920 - 71193415,14806505,True
98073423 - 63250687,34822736,True
91883507 - 60298584,31584923,True
21879124 - 20304224,1574900,True
75590289 - 41054440,34535849,True
65712620 - 62252642,3459978,True
28998440 - 22696679,6301761,True
13923350 - 94824428,-80901078,True
24474591 - 18321642,6152949,True
81916165 - 81128569,787596,True
71255106 - 52860006,18395100,True
25711868 - 94331073,-68619205,True
30743158 - 16771346,13971812,True
82402724 - 91488250,-9085526,True
69345499 - 42949899,26395600,True
26456610 - 76159912,-49703302,True
50199360 - 40436363,9762997,True
61364520 - 86044278,-24679758,True
85500415 - 56067031,29433384,True
37627798 - 89536000,-51908202,True
94660664 - 89657846,5002818,True
41130884 - 82646998,-41516114,True
42232723 - 22441539,19791184,True
70896284 - 86322416,-15426132,True
50415145 - 44634026,5781119,True
64023041 - 69970935,-5947894,True
99199032 - 21745340,77453692,True
82669877 - 53308423,29361454,True
94390886 - 52186965,42203921,True
17709194 - 44599748,-26890554,True
63093646 - 58542121,4551525,True
86735284 - 54052107,32683177,True
88605146 - 27243649,61361497,True
92924147 - 56092371,36831776,True
66764861 - 82394139,-15629278,True
12564901 - 31092226,-18527325,True
85993043 - 75018131,10974912,True
76740035 - 64988537,11751498,True
34460850 - 53448760,-18987910,True
56944600 - 78831044,-21886444,True
99167472 - 40703749,58463723,True
11789694 - 86109140,-74319446,True
73128359 - 80387940,-7259581,True
39700586 - 92716715,-53016129,True
55651000 - 36256012,19394988,True
67919408 - 54607630,13311778,True
52078629 - 34744653,17333976,True
19536665 - 36496404,-16959739,True
52051912 - 73528153,-21476241,True
99792079 - 21076625,78715454,True
65891413 - 64575662,1315751,True
98268899 - 82864111,15404788,True
45725313 - 47916084,-2190771,True
84127149 - 53702722,30424427,True
67041548 - 89617236,-22575688,True
72504345 - 56200931,16303414,True
96303142 - 64786053,31517089,True
87238768 - 51234274,36004494,True
24486672 - 86839090,-62352418,True
84870029 - 42189179,42680850,True
12083150 - 96893046,-84809896,True
31305034 - 58382831,-27077797,True
35750419 - 86617692,-50867273,True
38936582 - 49435097,-10498515,True
57734787 - 27371727,30363060,True
82208464 - 75840296,6368168,True
89791424 - 87064600,2726824,True
31220831 - 12181517,19039314,True
67669062 - 18102405,49566657,True
70502727 - 14044688,56458039,True
30024838 - 84130555,-54105717,True
81858072 - 36463345,45394727,True
34349416 - 75780384,-41430968,True
13102037 - 38387552,-25285515,True
88104454 - 29212031,58892423,True
60898387 - 43240786,17657601,True
46371784 - 19677769,26694015,True
76677497 - 52179442,24498055,True
58968026 - 99786505,-40818479,True
17824408 - 11608570,6215838,True
63043516 - 97090951,-34047435,True
61925478 - 39020730,22904748,True
38373714 - 69059386,-30685672,True
76726150 - 36091292,40634858,True
58858216 - 49015392,9842824,True
76003160 - 53229548,22773612,True
23067940 - 51632716,-28564776,True
28542447 - 77164029,-48621582,True
17678885 - 43951988,-26273103,True
30574788 - 57961176,-27386388,True
89643786 - 84219234,5424552,True
13984340 - 25987177,-12002837,True
54405918 - 80775830,-26369912,True
90952220 - 27237473,63714747,True
37273953 - 42457533,-5183580,True
63331042 - 59305607,4025435,True
99492356 - 49380955,50111401,True
65924521 - 40980515,24944006,True
44737721 - 30051394,14686327,True
